file,bibid,shelf_mark,type,text
MiscMssLargeB1F14_TEI.xml,9958704143503681,Misc Mss (Large) Box 1 Folder 14,subjects,Real property--England--Early works to 1800
MiscMssLargeB1F14_TEI.xml,9958704143503681,Misc Mss (Large) Box 1 Folder 14,form/genre,Deeds
MiscMssLargeB1F14_TEI.xml,9958704143503681,Misc Mss (Large) Box 1 Folder 14,form/genre,Legal documents
MiscMssLargeB1F14_TEI.xml,9958704143503681,Misc Mss (Large) Box 1 Folder 14,form/genre,"Manuscripts, Latin--17th century"
MiscMssLargeB1F14_TEI.xml,9958704143503681,Misc Mss (Large) Box 1 Folder 14,form/genre,"Manuscripts, European"
MiscMssLargeB1F2_TEI.xml,9958692693503681,Misc Mss (Large) Box 1 Folder 2,form/genre,Fragments
MiscMssLargeB1F2_TEI.xml,9958692693503681,Misc Mss (Large) Box 1 Folder 2,form/genre,Commentaries
MiscMssLargeB1F2_TEI.xml,9958692693503681,Misc Mss (Large) Box 1 Folder 2,form/genre,Homiliaries
MiscMssLargeB1F2_TEI.xml,9958692693503681,Misc Mss (Large) Box 1 Folder 2,form/genre,Lectionaries
MiscMssLargeB1F2_TEI.xml,9958692693503681,Misc Mss (Large) Box 1 Folder 2,form/genre,Sermons
MiscMssLargeB1F2_TEI.xml,9958692693503681,Misc Mss (Large) Box 1 Folder 2,form/genre,"Manuscripts, Latin--12th century"
MiscMssLargeB1F2_TEI.xml,9958692693503681,Misc Mss (Large) Box 1 Folder 2,form/genre,"Manuscripts, Medieval"
asu3740_TEI.xml,5444506,ASU 3740,subjects,Buddhism--Sri Lanka
asu3740_TEI.xml,5444506,ASU 3740,subjects,"Pali language--Glossaries, vocabularies, etc"
asu3740_TEI.xml,5444506,ASU 3740,form/genre,Facsimiles
asu3740_TEI.xml,5444506,ASU 3740,form/genre,Glossaries
asu3740_TEI.xml,5444506,ASU 3740,form/genre,"Manuscripts, Pali--19th century"
asu3740_TEI.xml,5444506,ASU 3740,form/genre,Manuscripts--Sri Lanka--19th century
asu3740_TEI.xml,5444506,ASU 3740,form/genre,"Manuscripts, Digital"
asu3970_TEI.xml,5444499,ASU 3970,subjects,Buddhism--Doctrines
asu3970_TEI.xml,5444499,ASU 3970,subjects,Buddhism--Sri Lanka
