file,bibid,type,text
MiscMssLargeB1F14_TEI.xml,9958704143503681,subjects,Real property--England--Early works to 1800
MiscMssLargeB1F14_TEI.xml,9958704143503681,form/genre,Deeds
MiscMssLargeB1F14_TEI.xml,9958704143503681,form/genre,Legal documents
MiscMssLargeB1F14_TEI.xml,9958704143503681,form/genre,"Manuscripts, Latin--17th century"
MiscMssLargeB1F14_TEI.xml,9958704143503681,form/genre,"Manuscripts, European"
MiscMssLargeB1F2_TEI.xml,9958692693503681,form/genre,Fragments
MiscMssLargeB1F2_TEI.xml,9958692693503681,form/genre,Commentaries
MiscMssLargeB1F2_TEI.xml,9958692693503681,form/genre,Homiliaries
MiscMssLargeB1F2_TEI.xml,9958692693503681,form/genre,Lectionaries
MiscMssLargeB1F2_TEI.xml,9958692693503681,form/genre,Sermons
MiscMssLargeB1F2_TEI.xml,9958692693503681,form/genre,"Manuscripts, Latin--12th century"
MiscMssLargeB1F2_TEI.xml,9958692693503681,form/genre,"Manuscripts, Medieval"
asu3740_TEI.xml,5444506,subjects,Buddhism--Sri Lanka
asu3740_TEI.xml,5444506,subjects,"Pali language--Glossaries, vocabularies, etc"
asu3740_TEI.xml,5444506,form/genre,Facsimiles
asu3740_TEI.xml,5444506,form/genre,Glossaries
asu3740_TEI.xml,5444506,form/genre,"Manuscripts, Pali--19th century"
asu3740_TEI.xml,5444506,form/genre,Manuscripts--Sri Lanka--19th century
asu3740_TEI.xml,5444506,form/genre,"Manuscripts, Digital"
asu3970_TEI.xml,5444499,subjects,Buddhism--Doctrines
asu3970_TEI.xml,5444499,subjects,Buddhism--Sri Lanka
asu3970_TEI.xml,5444499,subjects,Bodhi Tree
asu3970_TEI.xml,5444499,subjects,Buddhist literature
asu3970_TEI.xml,5444499,subjects,Pali literature
asu3970_TEI.xml,5444499,subjects,Sri Lankan literature
asu3970_TEI.xml,5444499,form/genre,Facsimiles
asu3970_TEI.xml,5444499,form/genre,"Manuscripts, Pali--19th century"
asu3970_TEI.xml,5444499,form/genre,Manuscripts--Sri Lanka--19th century
asu3970_TEI.xml,5444499,form/genre,"Manuscripts, Digital"
asu4006_TEI.xml,5444480,subjects,Buddhism--Doctrines
asu4006_TEI.xml,5444480,subjects,Buddhism--Sri Lanka
asu4006_TEI.xml,5444480,subjects,Bodhi Tree
asu4006_TEI.xml,5444480,subjects,Buddhist literature
asu4006_TEI.xml,5444480,subjects,Pali literature
asu4006_TEI.xml,5444480,subjects,Sri Lankan literature
asu4006_TEI.xml,5444480,form/genre,Facsimiles
asu4006_TEI.xml,5444480,form/genre,"Manuscripts, Pali--19th century"
asu4006_TEI.xml,5444480,form/genre,Manuscripts--Sri Lanka--19th century
asu4006_TEI.xml,5444480,form/genre,"Manuscripts, Digital"
cajs_rarms125_TEI.xml,6852932,subjects,Hadith--Texts
cajs_rarms125_TEI.xml,6852932,form/genre,Detached leaves
cajs_rarms125_TEI.xml,6852932,form/genre,"Manuscripts, Renaissance"
cajs_rarms125_TEI.xml,6852932,form/genre,"Manuscripts, Arabic--16th century"
cajs_rarms126_TEI.xml,6852958,subjects,Hadith--Early works to 1800
cajs_rarms126_TEI.xml,6852958,subjects,Religious life--Islam--Early works to 1800
cajs_rarms126_TEI.xml,6852958,form/genre,Codices
cajs_rarms126_TEI.xml,6852958,form/genre,"Manuscripts, Renaissance"
cajs_rarms126_TEI.xml,6852958,form/genre,"Manuscripts, Arabic--15th century"
cajs_rarms132_TEI.xml,6853002,form/genre,Codices
cajs_rarms132_TEI.xml,6853002,form/genre,Prayers (documents)
cajs_rarms132_TEI.xml,6853002,form/genre,Drawings (visual works)
cajs_rarms132_TEI.xml,6853002,form/genre,"Manuscripts, Renaissance"
cajs_rarms132_TEI.xml,6853002,form/genre,"Manuscripts, Arabic--16th century"
cajs_rarms137_TEI.xml,4423550,subjects,Muslims--Biography--Early works to 1800
cajs_rarms137_TEI.xml,4423550,form/genre,Codices
cajs_rarms137_TEI.xml,4423550,form/genre,"Manuscripts, Arabic--15th century"
cajs_rarms137_TEI.xml,4423550,form/genre,"Manuscripts, Renaissance"
cajs_rarms13_TEI.xml,2428251,form/genre,Detached leaves
cajs_rarms13_TEI.xml,2428251,form/genre,"Manuscripts, Hebrew--13th century"
cajs_rarms13_TEI.xml,2428251,form/genre,"Manuscripts, Hebrew--14th century"
cajs_rarms13_TEI.xml,2428251,form/genre,"Manuscripts, Medieval"
cajs_rarms13_TEI.xml,2428251,form/genre,"Manuscripts, Digital"
cajs_rarms142_TEI.xml,6853072,subjects,Islamic law--Early works to 1800
cajs_rarms142_TEI.xml,6853072,subjects,Hanbalites--Early works to 1800
cajs_rarms142_TEI.xml,6853072,form/genre,"Manuscripts, Renaissance"
cajs_rarms142_TEI.xml,6853072,form/genre,"Manuscripts, Arabic--16th century"
cajs_rarms143_TEI.xml,6853106,subjects,Islamic law--Early works to 1800
cajs_rarms143_TEI.xml,6853106,subjects,Hanafites--Early works to 1800
cajs_rarms143_TEI.xml,6853106,form/genre,Codices
cajs_rarms143_TEI.xml,6853106,form/genre,Commentaries
cajs_rarms143_TEI.xml,6853106,form/genre,"Manuscripts, Renaissance"
cajs_rarms143_TEI.xml,6853106,form/genre,"Manuscripts, Arabic--16th century"
cajs_rarms147_TEI.xml,6853132,subjects,Islamic law--Interpretation and construction--Early works to 1800
cajs_rarms147_TEI.xml,6853132,subjects,Hanafites--Early works to 1800
cajs_rarms147_TEI.xml,6853132,form/genre,Codices
cajs_rarms147_TEI.xml,6853132,form/genre,Commentaries
cajs_rarms147_TEI.xml,6853132,form/genre,"Manuscripts, Renaissance"
cajs_rarms147_TEI.xml,6853132,form/genre,"Manuscripts, Arabic--16th century"
cajs_rarms159_TEI.xml,6853142,subjects,Arabic language--Syntax
cajs_rarms159_TEI.xml,6853142,subjects,Arabic language--Grammar
cajs_rarms159_TEI.xml,6853142,form/genre,Codices
cajs_rarms159_TEI.xml,6853142,form/genre,"Manuscripts, Renaissance"
cajs_rarms159_TEI.xml,6853142,form/genre,"Manuscripts, Arabic--16th century"
cajs_rarms205_TEI.xml,6853164,subjects,"Hymns, Ethiopic"
cajs_rarms205_TEI.xml,6853164,form/genre,Hymns (documents)
cajs_rarms205_TEI.xml,6853164,form/genre,"Manuscripts, Renaissance"
cajs_rarms205_TEI.xml,6853164,form/genre,"Manuscripts, Ethiopic--17th century"
cajs_rarms205_TEI.xml,6853164,form/genre,"Manuscripts, Ethiopic--18th century"
cajs_rarms205_TEI.xml,6853164,form/genre,"Manuscripts, Ethiopic--19th century"
cajs_rarms207_TEI.xml,6853170,subjects,Persian poetry--747-1500
cajs_rarms207_TEI.xml,6853170,form/genre,"Manuscripts, Renaissance"
cajs_rarms207_TEI.xml,6853170,form/genre,"Manuscripts, Persian--16th century"
cajs_rarms211_TEI.xml,6853216,subjects,Persian poetry--747-1500
cajs_rarms211_TEI.xml,6853216,form/genre,"Manuscripts, Renaissance"
cajs_rarms211_TEI.xml,6853216,form/genre,"Manuscripts, Persian--16th century"
cajs_rarms214_TEI.xml,6853269,subjects,"Medicine, Arab"
cajs_rarms214_TEI.xml,6853269,subjects,"Medicine, Medieval"
cajs_rarms214_TEI.xml,6853269,form/genre,"Manuscripts, Medieval"
cajs_rarms214_TEI.xml,6853269,form/genre,"Manuscripts, Persian--13th century"
cajs_rarms214_TEI.xml,6853269,form/genre,"Manuscripts, Persian--14th century"
cajs_rarms216_TEI.xml,6853569,form/genre,"Manuscripts, Renaissance"
cajs_rarms216_TEI.xml,6853569,form/genre,"Manuscripts, Turkish--16th century"
cajs_rarms228_TEI.xml,9968536053503681,subjects,Catholic Church--Controversial literature--Early works to 1800
cajs_rarms228_TEI.xml,9968536053503681,subjects,Papacy--Early works to 1800
cajs_rarms228_TEI.xml,9968536053503681,subjects,Mass--Early works to 1800
cajs_rarms228_TEI.xml,9968536053503681,form/genre,Treatises
cajs_rarms228_TEI.xml,9968536053503681,form/genre,"Manuscripts, Renaissance"
cajs_rarms228_TEI.xml,9968536053503681,form/genre,"Manuscripts, Spanish--16th century"
cajs_rarms242_TEI.xml,2437298,form/genre,Codices
cajs_rarms242_TEI.xml,2437298,form/genre,Bibles
cajs_rarms242_TEI.xml,2437298,form/genre,"Manuscripts, Hebrew--16th century"
cajs_rarms242_TEI.xml,2437298,form/genre,"Manuscripts, Renaissance"
cajs_rarms242_TEI.xml,2437298,form/genre,"Manuscripts, Digital"
cajs_rarms26_TEI.xml,9924613943503681,form/genre,Codices
cajs_rarms26_TEI.xml,9924613943503681,form/genre,"Manuscripts, Hebrew--16th century"
cajs_rarms26_TEI.xml,9924613943503681,form/genre,"Manuscripts, Renaissance"
cajs_rarms280_TEI.xml,9933866253503681,form/genre,Codices
cajs_rarms280_TEI.xml,9933866253503681,form/genre,Qu'rans
cajs_rarms280_TEI.xml,9933866253503681,form/genre,"Manuscripts, Arabic--14th century"
cajs_rarms280_TEI.xml,9933866253503681,form/genre,"Manuscripts, Medieval"
cajs_rarms280_TEI.xml,9933866253503681,form/genre,"Manuscripts, Digital"
cajs_rarms28_TEI.xml,9924292173503681,subjects,Cabala
cajs_rarms28_TEI.xml,9924292173503681,subjects,"Jewish sermons, Hebrew"
cajs_rarms28_TEI.xml,9924292173503681,subjects,Midrash
cajs_rarms28_TEI.xml,9924292173503681,form/genre,"Manuscripts, Hebrew--17th century"
cajs_rarms28_TEI.xml,9924292173503681,form/genre,"Manuscripts, European"
cajs_rarms28_TEI.xml,9924292173503681,form/genre,Codices
cajs_rarms28_TEI.xml,9924292173503681,form/genre,Sermons
cajs_rarms28_TEI.xml,9924292173503681,form/genre,Essays
cajs_rarms28_TEI.xml,9924292173503681,form/genre,"Manuscripts, Digital"
cajs_rarms303_TEI.xml,6853619,subjects,Nobility--Spain--Early works to 1800
cajs_rarms303_TEI.xml,6853619,subjects,Illumination of books and manuscripts--Specimens
cajs_rarms303_TEI.xml,6853619,form/genre,Codices
cajs_rarms303_TEI.xml,6853619,form/genre,Illuminations
cajs_rarms303_TEI.xml,6853619,form/genre,Letters patent
cajs_rarms303_TEI.xml,6853619,form/genre,"Manuscripts, Renaissance"
cajs_rarms303_TEI.xml,6853619,form/genre,"Manuscripts, Spanish--16th century"
